modality_removed,full_metric,metric_without,delta_vs_full,ci_low,ci_high,acquisition_cost_gbp,delta_per_100_gbp
tabular,0.9449623081796122,0.9439193181701254,0.0010429900094868216,0.000298857059633828,0.001864904119743168,1.0,0.10429900094868216
waveform,0.9449623081796122,0.893823300600803,0.05113900757880929,0.04536524633699217,0.05782824850878142,25.0,0.20455603031523717
text,0.9449623081796122,0.9079188795390796,0.03704342864053267,0.030880192025917543,0.04333394703836324,15.0,0.24695619093688448
