modality_removed,full_metric,metric_without,delta_vs_full,ci_low,ci_high,acquisition_cost_gbp,delta_per_100_gbp
clinical,0.710532999528319,0.5575995065491093,0.15293349297920977,0.07655796765519013,0.23221538353606405,1.0,15.293349297920978
molecular,0.710532999528319,0.7018613257864373,0.008671673741881714,-0.0004246881569405003,0.01845327064151604,300.0,0.0028905579139605715
