modality_set,metric,delta_vs_previous,ci_low,ci_high,acquisition_cost_gbp,delta_per_100_gbp
tabular,0.6760370544695853,0.6760370544695853,,,1.0,67.60370544695853
tabular+text,0.893823300600803,0.21778624613121766,0.20441734126712202,0.2319485111751746,15.0,1.4519083075414512
tabular+text+waveform,0.9449623081796122,0.05113900757880929,0.04536524633699217,0.05782824850878142,25.0,0.20455603031523717
