modality_set,metric,delta_vs_previous,ci_low,ci_high,acquisition_cost_gbp,delta_per_100_gbp
clinical,0.7018613257864373,0.7018613257864373,,,1.0,70.18613257864374
clinical+molecular,0.710532999528319,0.008671673741881714,-0.0004246881569405003,0.01845327064151604,300.0,0.0028905579139605715
